"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.195056928E0,2.881875038E1,1.055625057E1,-9.448125458E1,9.934114085E1
1.205056928E0,2.874375153E1,1.065000057E1,-9.465000153E1,9.948994197E1
1.215056928E0,2.881875038E1,1.087500000E1,-9.480000305E1,9.967861645E1
1.225056928E0,2.831250191E1,1.068750000E1,-9.472500610E1,9.944167739E1
1.235056928E0,2.859375191E1,1.085625076E1,-9.463125610E1,9.945117124E1
1.245056928E0,2.848125076E1,1.063125038E1,-9.450000000E1,9.926960829E1
1.255056928E0,2.889375114E1,1.076250076E1,-9.440625000E1,9.931374687E1
1.265056928E0,2.887500191E1,1.078125000E1,-9.438750458E1,9.929250781E1
1.275056928E0,2.896875191E1,1.074375057E1,-9.436875153E1,9.929792560E1
1.285056928E0,2.896875191E1,1.080000019E1,-9.453750610E1,9.946440897E1
1.295056928E0,2.921250153E1,1.081875038E1,-9.429375458E1,9.930623222E1
1.305056928E0,2.955000114E1,1.110000038E1,-9.442500305E1,9.956150751E1
1.315056928E0,2.949375153E1,1.108125019E1,-9.429375458E1,9.941824600E1
1.325056928E0,2.928750038E1,1.119375038E1,-9.438750458E1,9.945882940E1
1.335056928E0,2.943750191E1,1.138125038E1,-9.451875305E1,9.964885377E1
1.345056928E0,3.020625114E1,1.282500076E1,-9.511875153E1,1.006204509E2
1.355056928E0,3.270000076E1,3.020625114E1,-9.573750305E1,1.055811401E2
1.365056928E0,3.303750229E1,6.144375229E1,-9.605625153E1,1.187165309E2
1.375056928E0,3.195000076E1,9.905625153E1,-9.660000610E1,1.420017771E2
1.385056928E0,3.024375153E1,1.388812561E2,-9.725625610E1,1.722250480E2
1.395056928E0,2.827500153E1,1.794375000E2,-9.753750610E1,2.061816122E2
1.405056928E0,2.651250076E1,2.201812592E2,-9.750000763E1,2.422580258E2
1.415056928E0,2.379375076E1,2.607562561E2,-9.759375763E1,2.794360557E2
1.425056928E0,2.071875000E1,3.001875000E2,-9.725625610E1,3.162286848E2
1.435056928E0,1.573125076E1,3.237937622E2,-9.646875763E1,3.382249161E2
1.445056928E0,1.284375095E1,3.335250244E2,-9.592500305E1,3.472830403E2
1.455056928E0,1.110000038E1,3.367125244E2,-9.493125153E1,3.500149663E2
1.465056928E0,1.016250038E1,3.376875000E2,-9.412500000E1,3.507073419E2
1.475056928E0,9.300000191E0,3.378375244E2,-9.361875153E1,3.506923916E2
1.485056928E0,8.531250000E0,3.379500122E2,-9.315000153E1,3.506564070E2
1.495056928E0,8.212500572E0,3.382125244E2,-9.245625305E1,3.507182852E2
1.505056928E0,7.800000191E0,3.383437500E2,-9.187500000E1,3.506826896E2
1.515056928E0,7.387500286E0,3.383437500E2,-9.176250458E1,3.506443006E2
1.525056928E0,6.975000381E0,3.381375122E2,-9.150000000E1,3.503682032E2
1.535056928E0,6.543750286E0,3.380625000E2,-9.150000000E1,3.502874885E2
1.545056928E0,6.206250191E0,3.381000061E2,-9.138750458E1,3.502881780E2
1.555056928E0,5.906250000E0,3.381937561E2,-9.144375610E1,3.503881576E2
1.565056928E0,5.362500191E0,3.381187744E2,-9.114375305E1,3.502288477E2
1.575056928E0,5.025000095E0,3.380062561E2,-9.129375458E1,3.501542937E2
1.585056928E0,4.537500381E0,3.376687622E2,-9.090000153E1,3.497193048E2
1.595056928E0,4.425000191E0,3.375375061E2,-9.046875000E1,3.494792460E2
1.605056928E0,4.406250000E0,3.378187561E2,-9.024375153E1,3.496925245E2
1.615056928E0,4.368750095E0,3.377437744E2,-8.996250153E1,3.495471282E2
1.625056928E0,4.143750191E0,3.376312561E2,-8.949375153E1,3.493152836E2
1.635056928E0,4.068750381E0,3.376312561E2,-8.898750305E1,3.491850448E2
1.645056928E0,4.012500286E0,3.377062683E2,-8.893125153E1,3.492425966E2
1.655056928E0,3.993750095E0,3.376312561E2,-8.859375000E1,3.490840410E2
1.665056928E0,3.862500191E0,3.377625122E2,-8.859375000E1,3.492095160E2
1.675056928E0,3.656250238E0,3.378375244E2,-8.838750458E1,3.492275935E2
1.685056928E0,3.243750095E0,3.375187683E2,-8.836875153E1,3.489104142E2
1.695056928E0,3.281250238E0,3.374812622E2,-8.831250000E1,3.488602394E2
1.705056928E0,3.300000191E0,3.374812622E2,-8.820000458E1,3.488319555E2
1.715056928E0,3.112500191E0,3.374062500E2,-8.820000458E1,3.487576609E2
1.725056928E0,3.187500238E0,3.374250183E2,-8.816250610E1,3.487670148E2
1.735056928E0,3.112500191E0,3.374062500E2,-8.799375153E1,3.487055570E2
1.745056928E0,3.131250143E0,3.374625244E2,-8.803125000E1,3.487696390E2
1.755056928E0,2.962500095E0,3.373312683E2,-8.801250458E1,3.486364323E2
1.765056928E0,3.112500191E0,3.373125000E2,-8.780625153E1,3.485675661E2
1.775056928E0,2.850000143E0,3.375562744E2,-8.773125458E1,3.487823590E2
1.785056928E0,2.756250143E0,3.378000183E2,-8.773125458E1,3.490175100E2
1.795056928E0,2.681250095E0,3.377437744E2,-8.761875153E1,3.489342229E2
1.805056928E0,2.568750143E0,3.377437744E2,-8.739375305E1,3.488769464E2
1.815056928E0,2.268750191E0,3.377812500E2,-8.741250610E1,3.489158442E2
1.825056928E0,2.118750095E0,3.376687622E2,-8.735625458E1,3.487919112E2
1.835056928E0,2.137500048E0,3.378750000E2,-8.726250458E1,3.489682353E2
1.845056928E0,2.118750095E0,3.380250244E2,-8.718750000E1,3.490946382E2
1.855056928E0,1.968750119E0,3.380437622E2,-8.726250458E1,3.491306430E2
1.865056928E0,1.781250119E0,3.378187561E2,-8.731875610E1,3.489258517E2
1.875056928E0,1.912500024E0,3.377625122E2,-8.735625458E1,3.488814806E2
1.885056928E0,1.912500024E0,3.375562744E2,-8.735625458E1,3.486818195E2
1.895056928E0,1.743750095E0,3.375375061E2,-8.716875458E1,3.486158351E2
1.905056928E0,1.668750048E0,3.375562744E2,-8.703750610E1,3.486008471E2
1.915056928E0,1.612500072E0,3.374250183E2,-8.713125610E1,3.484969138E2
1.925056928E0,1.518750072E0,3.373125000E2,-8.715000153E1,3.483922388E2
1.935056928E0,1.331250072E0,3.370312500E2,-8.688750458E1,3.480535507E2
1.945056928E0,1.087500095E0,3.371812744E2,-8.700000000E1,3.482260681E2
1.955056928E0,7.500000000E-1,3.370687561E2,-8.694375610E1,3.481021769E2
1.965056928E0,5.250000358E-1,3.371062622E2,-8.709375000E1,3.481755720E2
1.975056928E0,5.250000358E-1,3.371062622E2,-8.713125610E1,3.481849558E2
1.985056928E0,5.250000358E-1,3.371625061E2,-8.713125610E1,3.482394104E2
1.995056928E0,5.437500477E-1,3.371062622E2,-8.685000610E1,3.481147099E2
2.005056928E0,4.875000119E-1,3.371437683E2,-8.675625610E1,3.481275716E2
2.015056928E0,2.062500119E-1,3.368812561E2,-8.690625000E1,3.479105051E2
2.025056928E0,1.500000060E-1,3.367687683E2,-8.664375305E1,3.477360576E2
2.035056928E0,4.875000119E-1,3.369937744E2,-8.655000305E1,3.479309481E2
2.045056928E0,5.250000358E-1,3.370125122E2,-8.636250305E1,3.479025596E2
2.055056928E0,4.500000179E-1,3.368250122E2,-8.625000000E1,3.476929016E2
2.065056928E0,5.437500477E-1,3.367500000E2,-8.606250000E1,3.475738944E2
2.075056928E0,3.937500119E-1,3.367125244E2,-8.602500153E1,3.475280996E2
2.085056928E0,1.312500089E-1,3.367312622E2,-8.598750305E1,3.475367763E2
2.095056928E0,4.500000179E-1,3.373125000E2,-8.576250458E1,3.480447275E2
2.105056928E0,6.000000238E-1,3.373125000E2,-8.574375153E1,3.480403333E2
2.115056928E0,3.375000060E-1,3.375000000E2,-8.566875458E1,3.482032444E2
2.125056928E0,0.000000000E0,3.373125000E2,-8.557500458E1,3.479982817E2
2.135056928E0,7.500000298E-2,3.376500244E2,-8.572500610E1,3.483623419E2
2.145056928E0,-1.125000045E-1,3.376500244E2,-8.572500610E1,3.483623520E2
2.155056928E0,-4.312500060E-1,3.377812500E2,-8.585625458E1,3.485221016E2
2.165056928E0,-5.437500477E-1,3.376500244E2,-8.576250458E1,3.483719877E2
2.175056928E0,-5.625000000E-1,3.374625244E2,-8.591250610E1,3.482272685E2
2.185056928E0,-6.187500358E-1,3.374250183E2,-8.576250458E1,3.481540363E2
2.195056928E0,-6.000000238E-1,3.372937622E2,-8.574375153E1,3.480221731E2
2.205056928E0,-4.500000179E-1,3.375937500E2,-8.561250305E1,3.482804089E2
2.215056928E0,-5.625000000E-1,3.374812622E2,-8.561250305E1,3.481715374E2
2.225056928E0,-3.937500119E-1,3.374812622E2,-8.546250153E1,3.481344518E2
2.235056928E0,-2.250000089E-1,3.372937622E2,-8.525625610E1,3.479019429E2
2.245056928E0,-7.500000298E-2,3.374625244E2,-8.533125305E1,3.480838746E2
2.255056928E0,-2.437500060E-1,3.374625244E2,-8.521875000E1,3.480563893E2
2.265056928E0,-3.375000060E-1,3.374062500E2,-8.527500153E1,3.480156855E2
2.275056928E0,-6.562500000E-1,3.372187500E2,-8.521875000E1,3.478205735E2
2.285056928E0,-8.062500358E-1,3.371437683E2,-8.542500305E1,3.477987948E2
2.295056928E0,-8.437500596E-1,3.370875244E2,-8.544375610E1,3.477489705E2
2.305056928E0,-1.162500024E0,3.370500183E2,-8.570625305E1,3.477781305E2
2.315056928E0,-1.350000024E0,3.371062622E2,-8.574375153E1,3.478425584E2
2.325056928E0,-1.462500095E0,3.371625061E2,-8.585625458E1,3.479252662E2
2.335056928E0,-1.443750024E0,3.371062622E2,-8.589375305E1,3.478799409E2
2.345056928E0,-1.537500024E0,3.372187500E2,-8.570625305E1,3.479431147E2
2.355056928E0,-1.500000000E0,3.372750244E2,-8.561250305E1,3.479744140E2
2.365056928E0,-1.387500048E0,3.372187500E2,-8.548125458E1,3.478871302E2
2.375056928E0,-1.256250024E0,3.372562561E2,-8.529375458E1,3.478769682E2
2.385056928E0,-1.237500072E0,3.371437683E2,-8.516250610E1,3.477356818E2
2.395056928E0,-1.162500024E0,3.370687561E2,-8.533125305E1,3.477040703E2
2.405056928E0,-1.218750000E0,3.370125122E2,-8.510625458E1,3.475945818E2
2.415056928E0,-1.387500048E0,3.370687561E2,-8.505000305E1,3.476359799E2
2.425056928E0,-1.331250072E0,3.370875244E2,-8.497500610E1,3.476356181E2
2.435056928E0,-1.275000095E0,3.371437683E2,-8.516250610E1,3.477358172E2
2.445056928E0,-1.256250024E0,3.371625061E2,-8.505000305E1,3.477263820E2
2.455056928E0,-1.443750024E0,3.371062622E2,-8.520000458E1,3.477092999E2
2.465056928E0,-1.312500000E0,3.373500061E2,-8.508750153E1,3.479175652E2
2.475056928E0,-1.387500048E0,3.375375061E2,-8.484375000E1,3.480401631E2
2.485056928E0,-1.218750000E0,3.375000000E2,-8.490000153E1,3.480168755E2
2.495056928E0,-1.275000095E0,3.375937500E2,-8.484375000E1,3.480942797E2
2.505056928E0,-1.518750072E0,3.375562744E2,-8.478750610E1,3.480452071E2
2.515056928E0,-1.556250095E0,3.376500244E2,-8.480625153E1,3.481408640E2
2.525056928E0,-1.575000048E0,3.376125183E2,-8.493750000E1,3.481365710E2
2.535056928E0,-1.350000024E0,3.376500244E2,-8.486250305E1,3.481537102E2
2.545056928E0,-1.518750072E0,3.378187561E2,-8.505000305E1,3.483637777E2
2.555056928E0,-1.481250048E0,3.377062683E2,-8.508750153E1,3.482636942E2
2.565056928E0,-1.743750095E0,3.376875000E2,-8.493750000E1,3.482100906E2
2.575056928E0,-1.743750095E0,3.376875000E2,-8.514375305E1,3.482604586E2
2.585056928E0,-1.762500048E0,3.376125183E2,-8.529375458E1,3.482245590E2
2.595056928E0,-1.950000048E0,3.375000000E2,-8.499375153E1,3.480430868E2
2.605056928E0,-1.931250095E0,3.375187683E2,-8.497500610E1,3.480566051E2
2.615056928E0,-2.212500095E0,3.374812622E2,-8.475000000E1,3.479670387E2
2.625056928E0,-2.100000143E0,3.373500061E2,-8.460000610E1,3.478025268E2
2.635056928E0,-2.268750191E0,3.373687744E2,-8.476875305E1,3.478628734E2
2.645056928E0,-2.212500095E0,3.374062500E2,-8.516250610E1,3.479950074E2
2.655056928E0,-2.231250048E0,3.372562561E2,-8.495625305E1,3.477992606E2
2.665056928E0,-2.212500095E0,3.372000122E2,-8.495625305E1,3.477446021E2
2.675056928E0,-2.268750191E0,3.370500183E2,-8.521875000E1,3.476637706E2
2.685056928E0,-2.493750095E0,3.370125122E2,-8.514375305E1,3.476105736E2
2.695056928E0,-2.325000048E0,3.370687561E2,-8.542500305E1,3.477329192E2
2.705056928E0,-2.512500048E0,3.368250122E2,-8.533125305E1,3.474749261E2
2.715056928E0,-2.400000095E0,3.368062744E2,-8.520000458E1,3.474237575E2
2.725056928E0,-2.418750048E0,3.367875061E2,-8.488125610E1,3.473276584E2
2.735056928E0,-2.193750143E0,3.371062622E2,-8.501250458E1,3.476673273E2
